Type,job_title,job_area,salary-bot,salary-top,year,education,company_title,company_info,skill,publis_name,welfare,job_url
网络工程师,网络工程师,济南·历下区·奥体,4000,8000,经验不限,本科,澜光智能,医疗健康未融资0-20人,运维工程师 物联网 系统运维 网络安全 大数据,李女士副总经理,交通补助，节日福利，年终奖，员工旅游，带薪年假，五险一金,https://www.zhipin.com/job_detail/5e6082c393322bd61nR909-1FFBR.html
网络工程师,网络工程师,北京·海淀区·牡丹园,6500,11916,经验不限,大专,云海世纪,计算机服务0-20人,交换机配置 路由器配置 故障处理 Windows Linux,陆女士人力资源，行政, ,https://www.zhipin.com/job_detail/8f3b7532d60f1d2f1n142dS1F1pW.html
网络工程师,网络工程师,合肥·长丰县·北城,4000,6000,3-5,大专,合凯电气,机械设备/机电/重工未融资100-499人,网络运维 IT技术支持 网络设备 网络安全 IT服务,余先生招聘者,交通补助，五险一金，生日活动，节日福利，员工旅游，免费班车，餐补,https://www.zhipin.com/job_detail/b8929f589859c1a03nB62du5FVI~.html
网络工程师,网络工程师,北京·海淀区·航天桥,18416,21666,3-5,大专,神州新桥,互联网不需要融资1000-9999人,网络规划设计 网络工程师证,王女士招聘专员,员工旅游，五险一金，通讯补贴，定期体检，节日福利，海外游，补充医疗保险，餐补，年终奖，带薪年假,https://www.zhipin.com/job_detail/007f1556afc812221nx52926E1tQ.html
网络工程师,网络工程师,苏州,6000,10000,1-3,大专,北京炫亿时代科技,数据服务未融资100-499人,CCNP证书 CCIE证书 Oracle 交换机配置,李先生招聘者,五险一金，带薪年假，加班补助，员工旅游,https://www.zhipin.com/job_detail/75e98492618917eb1nF92N-1ElRQ.html
网络工程师,网络工程师,北京·海淀区·上地,7000,12000,经验不限,学历不限,远禾科技,信息安全天使轮20-99人,Linux CCNA证书 CCNP证书 网络工程师证,张女士人力资源主管,交通补助，股票期权，定期体检，年终奖，员工旅游，带薪年假，全勤奖，节日福利，零食下午茶，五险一金，加班补助，通讯补贴,https://www.zhipin.com/job_detail/044a9d6848f0fbd31XR43t64EVNX.html
网络工程师,网络工程师,济南·历下区·历山东路,5000,10000,1-3,大专,山东龙维,通信/网络设备未融资20-99人,CCNP证书 CCIE证书 网络工程师证 CCNA证书,杨女士人事,通讯补贴，年终奖，交通补助，补充医疗保险，员工旅游，餐补，节日福利，五险一金，全勤奖,https://www.zhipin.com/job_detail/de2be612e904384c1n162928GVNX.html
网络工程师,网络工程师,广州·天河区·天河北,6000,10000,1-3,本科,烨庞,计算机服务0-20人,网络工程师证 CCNP证书 CCIE证书 交换机配置,彭先生计算机运维电脑维护, ,https://www.zhipin.com/job_detail/31bd22846ee0fb001nN_0ti0FlZQ.html
网络工程师,网络工程师,大连·沙河口区·西安路,4000,8000,经验不限,本科,航远科技,信息安全未融资0-20人,交换机配置 故障处理 路由器配置,廉先生经理,员工旅游，全勤奖，餐补，年终奖，节日福利，带薪年假，交通补助，五险一金，通讯补贴,https://www.zhipin.com/job_detail/504adc8304836ce11nx73d-4F1pR.html
网络工程师,网络工程师,南京·玄武区·总统府,6500,11916,经验不限,大专,南京鼎泽,通信/网络设备0-20人,负载均衡 交换机配置 路由器配置 网络规划设计,陈女士行政主管, ,https://www.zhipin.com/job_detail/c9972c37073053341nF62t29EFJQ.html
网络工程师,网络工程师,台州·椒江区·西商务区,6000,11000,1-3,本科,智腾科技,计算机软件未融资20-99人,网络运维 安全运维 运维通信资格证书 CCNP证书,丁先生总经理助理,岗位晋升，培训，节日礼物，五险，周末双休，节日福利，法定节假日,https://www.zhipin.com/job_detail/7408eb9a1ae3f5ef3nV_3ty1EFI~.html
